libxml2,libxml2,libxml2-devel
linux-azure, , 
linux-azure-4.15-cloud-tools-4.15.0-1115, , 
linux-azure-4.15-headers-4.15.0-1115, , 
linux-azure-4.15-tools-4.15.0-1115, , 
linux-azure-lts-18.04, , 
linux-cloud-tools-4.15.0-1115-azure, , 
linux-cloud-tools-azure, , 
linux-cloud-tools-azure-lts-18.04, , 
linux-cloud-tools-common, , 
linux-headers-4.15.0-1115-azure, , 
linux-headers-azure, , 
linux-headers-azure-lts-18.04, , 
linux-image-4.15.0-1115-azure, , 
linux-image-azure, , 
linux-image-azure-lts-18.04, , 
linux-libc-dev,glibc-devel, 
linux-modules-4.15.0-1115-azure, , 
linux-modules-extra-4.15.0-1115-azure, , 
linux-modules-extra-azure-lts-18.04, , 
linux-tools-4.15.0-1115-azure,kernel-tools, , 
linux-tools-azure,kernel-tools, , 
linux-tools-azure-lts-18.04,kernel-tools, , 
linux-tools-common,kernel-tools, , 
livy2-2-6-99-201-39240152, , 
manpages-dev,gl-manpages, , 
metricsext2, , 
moby-buildx,moby-buildx,moby-buildx-debuginfo
moby-cli,moby-cli,moby-cli-debuginfo
moby-containerd,moby-containerd, 
moby-engine,moby-engine,moby-engine-debuginfo
moby-runc,moby-runc,moby-runc-debuginfo
msodbcsql17, , 
mysql-common,mysql-common, 
netfilter-persistent,libnetfilter_queue,libnetfilter-queue-devel
netstandard-targeting-pack-2.1,netstandard-targeting-pack, 
nginx,nginx, 
ngrep,grep, 
odbcinst,libodbc,libodbc-devel
odbcinst1debian2, , 
openvswitch-common,openvswitch,openvswitch-devel; openvswitch-debuginfo; openvswitch-devel-static
openvswitch-switch,openvswitch,openvswitch-devel; openvswitch-debuginfo; openvswitch-devel-static
packages-microsoft-prod, , 
pigz,pigz, 
poppler-data, , 
python3-apport, , 
python3-problem-report, , 
python-samba,python3-samba, , 
qualys-command-line-agent, , 
runc,runc,runc-debuginfo; mody-runc
samba-common,samba-common, 
samba-common-bin,samba-common-libs,samba-common-tools
samba-libs,samba-libs, 
sosreport,sos,sos-audit
spark2-2-6-99-201-39240152, , 
spark2-2-6-99-201-39240152-master, , 
spark2-2-6-99-201-39240152-python, , 
spark2-2-6-99-201-39240152-worker, , 
spark2-2-6-99-201-39240152-yarn-shuffle, , 
sparkmetrics-2-6-99-201-39240152, , 
strongswan,strongswan,strongswan-debuginfo
strongswan-charon,strongswan,strongswan-debuginfo
strongswan-libcharon,strongswan,strongswan-debuginfo
strongswan-starter,strongswan,strongswan-debuginfo
